"";"t_n";"x";"x_diff"
"294";2665;3,23;-0,24
"295";2667;3,05;-0,18
"296";2670;3,17;0,12
"297";2672;3,19;0,02
"298";2674;3,27;0,0800000000000001
"299";2677;3,14;-0,13
"300";2679;3,36;0,22
"301";2681;3,29;-0,0699999999999998
"302";2684;3,55;0,26
"303";2686;3,43;-0,12
"304";2689;3,76;0,33
"305";2691;3,9;0,14
"306";2694;3,84;-0,0600000000000001
"307";2696;3,76;-0,0800000000000001
"308";2699;3,61;-0,15
"309";2701;3,46;-0,15
"310";2704;3,51;0,0499999999999998
"311";2706;3,56;0,0500000000000003
"312";2708;3,55;-0,0100000000000002
"313";2710;3,8;0,25
"314";2712;3,77;-0,0299999999999998
"315";2714;3,71;-0,0600000000000001
"316";2716;3,83;0,12
"317";2717;3,84;0,00999999999999979
"318";2719;3,83;-0,00999999999999979
"319";2721;3,88;0,0499999999999998
"320";2723;3,61;-0,27
"321";2725;3,65;0,04
"322";2726;3,5;-0,15
"323";2728;3,47;-0,0299999999999998
"324";2730;3,97;0,5
"325";2732;3,32;-0,65
"326";2733;3,49;0,17
"327";2735;3,66;0,17
"328";2737;3,6;-0,0600000000000001
"329";2738;3,7;0,1
"330";2740;3,6;-0,1
"331";2741;3,58;-0,02
"332";2742;3,46;-0,12
"333";2744;3,87;0,41
"334";2745;3,65;-0,22
"335";2746;3,71;0,0600000000000001
"336";2747;3,53;-0,18
"337";2749;2,88;-0,65
"338";2750;3,02;0,14
"339";2751;2,86;-0,16
"340";2753;3,04;0,18
"341";2755;3;-0,04
"342";2759;3,14;0,14
"343";2761;3,04;-0,1
"344";2765;3,21;0,17
"345";2766;3,22;0,0100000000000002
"346";2768;3,38;0,16
"347";2770;3,33;-0,0499999999999998
"348";2772;3,41;0,0800000000000001
"349";2774;3,41;0
"350";2776;3,57;0,16
"351";2779;3,32;-0,25
"352";2783;3,32;0
"353";2785;3,19;-0,13
"354";2787;3,16;-0,0299999999999998
"355";2789;3,15;-0,0100000000000002
"356";2792;3,22;0,0700000000000003
"357";2795;3,36;0,14
"358";2798;3,22;-0,14
"359";2802;3,33;0,11
"360";2807;3,36;0,0299999999999998
"361";2810;3,65;0,29
"362";2813;3,33;-0,32
"363";2815;3,74;0,41
"364";2816;4,04;0,3
"365";2817;3,75;-0,29
"366";2819;3,78;0,0299999999999998
"367";2820;3,78;0
"368";2822;3,77;-0,00999999999999979
"369";2824;3,49;-0,28
"370";2826;3,41;-0,0800000000000001
"371";2829;3,44;0,0299999999999998
"372";2832;3,29;-0,15
"373";2836;3,28;-0,0100000000000002
"374";2838;3,33;0,0500000000000003
"375";2840;3,3;-0,0300000000000002
"376";2841;3,42;0,12
"377";2843;3,42;0
"378";2845;3,51;0,0899999999999999
"379";2848;3,62;0,11
"380";2850;3,44;-0,18
"381";2852;3,48;0,04
"382";2853;3,59;0,11
"383";2856;3,59;0
"384";2857;3,45;-0,14
"385";2859;3,67;0,22
"386";2862;3,31;-0,36
"387";2864;3,35;0,04
"388";2866;3,28;-0,0700000000000003
"389";2868;3,25;-0,0299999999999998
"390";2871;3,3;0,0499999999999998
"391";2873;3,11;-0,19
"392";2875;3,4;0,29
"393";2876;3,2;-0,2
"394";2878;3,23;0,0299999999999998
"395";2880;3,29;0,0600000000000001
"396";2881;3,3;0,00999999999999979
"397";2883;3,49;0,19
"398";2885;3,62;0,13
"399";2887;3,6;-0,02
"400";2889;3,72;0,12
"401";2891;3,69;-0,0300000000000002
"402";2892;3,47;-0,22
"403";2894;3,5;0,0299999999999998
"404";2896;3,47;-0,0299999999999998
"405";2898;3,34;-0,13
"406";2900;3,37;0,0300000000000002
"407";2901;3,31;-0,0600000000000001
"408";2903;3,29;-0,02
"409";2905;3,27;-0,02
"410";2909;3,22;-0,0499999999999998
"411";2913;3,4;0,18
"412";2916;3,36;-0,04
"413";2920;3,3;-0,0600000000000001
"414";2924;3,24;-0,0599999999999996
"415";2926;3,36;0,12
"416";2928;3,48;0,12
"417";2929;3,52;0,04
"418";2930;3,51;-0,0100000000000002
"419";2931;3,46;-0,0499999999999998
"420";2933;3,56;0,1
"421";2934;3,6;0,04
"422";2935;3,69;0,0899999999999999
"423";2936;3,62;-0,0699999999999998
"424";2938;3,56;-0,0600000000000001
"425";2939;3,5;-0,0600000000000001
"426";2940;3,25;-0,25
"427";2941;3,3;0,0499999999999998
"428";2942;3,18;-0,12
"429";2944;3,15;-0,0300000000000002
"430";2946;3,21;0,0600000000000001
"431";2948;2,84;-0,37
"432";2951;3,05;0,21
"433";2954;3,07;0,02
"434";2955;2,99;-0,0799999999999996
"435";2957;3,225;0,235
"436";2958;3,24;0,0150000000000001
"437";2959;3,345;0,105
"438";2961;3,12;-0,225
"439";2963;3,17;0,0499999999999998
"440";2964;3,25;0,0800000000000001
"441";2965;3,13;-0,12
"442";2966;2,96;-0,17
"443";2967;3,33;0,37
"444";2968;3,49;0,16
"445";2971;3,26;-0,23
"446";2973;3,26;0
"447";2975;3,44;0,18
"448";2977;3,51;0,0699999999999998
"449";2980;3,24;-0,27
"450";2982;3,3;0,0599999999999996
"451";2984;3,13;-0,17
"452";2987;2,75;-0,38
"453";2989;3,12;0,37
"454";2991;2,86;-0,26
"455";2994;2,89;0,0300000000000002
"456";2996;2,99;0,1
"457";2998;3,04;0,0499999999999998
"458";3000;3,12;0,0800000000000001
"459";3003;3,28;0,16
"460";3006;3,33;0,0500000000000003
"461";3008;3,42;0,0899999999999999
"462";3009;3,41;-0,00999999999999979
"463";3012;3,37;-0,04
"464";3014;3,71;0,34
"465";3016;3,38;-0,33
"466";3018;3,61;0,23
"467";3020;3,36;-0,25
"468";3023;3,34;-0,02
"469";3025;3,36;0,02
"470";3027;3,42;0,0600000000000001
"471";3029;3,38;-0,04
"472";3032;3,23;-0,15
"473";3034;3,3;0,0699999999999998
"474";3036;2,87;-0,43
"475";3038;2,99;0,12
"476";3041;3,02;0,0299999999999998
"477";3043;3;-0,02
"478";3046;3,04;0,04
"479";3048;3,19;0,15
"480";3051;3,14;-0,0499999999999998
"481";3053;3,39;0,25
"482";3055;3,17;-0,22
"483";3058;3,5;0,33
"484";3060;3,26;-0,24
"485";3063;2,97;-0,29
"486";3065;3,03;0,0599999999999996
"487";3066;3,23;0,2
"488";3068;2,88;-0,35
"489";3070;2,94;0,0600000000000001
"490";3072;3,06;0,12
"491";3073;2,95;-0,11
"492";3075;2,86;-0,0900000000000003
"493";3077;3,04;0,18
"494";3079;3,01;-0,0300000000000002
"495";3080;3,02;0,0100000000000002
"496";3082;3,01;-0,0100000000000002
"497";3084;3,29;0,28
"498";3086;3,18;-0,11
"499";3089;3,22;0,04
"500";3092;3,3;0,0799999999999996
"501";3095;3,18;-0,12
"502";3098;3,34;0,16
"503";3101;3,1;-0,24
"504";3104;2,98;-0,12
"505";3107;3,23;0,25
"506";3110;3,07;-0,16
"507";3113;3,39;0,32
"508";3116;3,09;-0,3
"509";3119;3,38;0,29
"510";3122;3,22;-0,16
"511";3125;3,6;0,38
"512";3128;3,21;-0,39
"513";3131;3,22;0,0100000000000002
"514";3134;3,51;0,29
"515";3136;3,5;-0,00999999999999979
"516";3139;3,59;0,0899999999999999
"517";3141;3,79;0,2
"518";3144;3,71;-0,0800000000000001
"519";3146;3,71;0
"520";3148;3,4;-0,31
"521";3151;3,38;-0,02
"522";3153;3,46;0,0800000000000001
"523";3156;3,14;-0,32
"524";3158;3,19;0,0499999999999998
"525";3162;3,06;-0,13
"526";3165;3,2;0,14
"527";3168;3,21;0,00999999999999979
"528";3171;3,19;-0,02
"529";3174;3,36;0,17
"530";3177;3,33;-0,0299999999999998
"531";3180;3,31;-0,02
"532";3186;3,45;0,14
"533";3189;3,36;-0,0900000000000003
"534";3192;3,31;-0,0499999999999998
"535";3195;3,08;-0,23
"536";3198;3,06;-0,02
"537";3203;3,04;-0,02
"538";3209;3,22;0,18
"539";3216;3,1;-0,12
"540";3224;3,32;0,22
"541";3226;3,35;0,0300000000000002
"542";3230;3,09;-0,26
"543";3234;3,27;0,18
"544";3238;3,1;-0,17
"545";3241;3,13;0,0299999999999998
"546";3244;3,16;0,0300000000000002
"547";3245;3,23;0,0699999999999998
"548";3248;3,33;0,1
"549";3249;3,05;-0,28
"550";3250;3,12;0,0700000000000003
"551";3252;3,1;-0,02
"552";3254;3,08;-0,02
"553";3255;3,21;0,13
"554";3257;3,19;-0,02
"555";3259;3,05;-0,14
"556";3263;3,16;0,11
"557";3268;3,16;0
"558";3272;3,2;0,04
"559";3276;2,96;-0,24
"560";3280;3,14;0,18
"561";3284;2,96;-0,18
"562";3287;3,07;0,11
"563";3290;3,1;0,0300000000000002
"564";3293;3;-0,1
"565";3296;3,07;0,0699999999999998
"566";3299;3,15;0,0800000000000001
"567";3301;3,15;0
"568";3304;3,26;0,11
