1965.5	2.98
1965.583	1.25
1965.667	0.63
1965.75	-0.07
1965.833	0.36
1965.917	-1.78
1966	-2.22
1966.083	0.14
1966.167	4.2
1966.25	1.27
1966.333	-3.02
1966.417	-1.01
1966.5	0.98
1966.583	-1.25
1966.667	0.63
1966.75	3.63
1966.833	0.86
1966.917	0.22
1967	-11.72
1967.083	-3.56
1967.167	1.1
1967.25	3.77
1967.333	2.18
1967.417	1.69
1967.5	-0.92
1967.583	-0.05
1967.667	-2.27
1967.75	-1.97
1967.833	0.96
1967.917	-7.68
1968	-4.02
1968.083	-2.76
1968.167	-2.7
1968.25	5.77
1968.333	1.18
1968.417	1.29
1968.5	-0.72
1968.583	0.55
1968.667	-0.27
1968.75	-4.77
1968.833	-1.64
1968.917	-0.88
1969	-1.12
1969.083	-8.96
1969.167	-6.6
1969.25	-0.53
1969.333	-0.42
1969.417	-1.81
1969.5	0.88
1969.583	3.15
1969.667	-1.37
1969.75	-0.27
1969.833	0.66
1969.917	0.42
1970	-1.82
1970.083	2.34
1970.167	1.6
1970.25	-5.03
1970.333	0.18
1970.417	-1.41
1970.5	-0.72
1970.583	-0.75
1970.667	-0.87
1970.75	-0.67
1970.833	-1.54
1970.917	-1.38
1971	-1.22
1971.083	7.44
1971.167	-4.4
1971.25	-4.93
1971.333	1.18
1971.417	-0.31
1971.5	-1.12
1971.583	-2.35
1971.667	-0.97
1971.75	-0.27
1971.833	1.46
1971.917	4.72
1972	-1.42
1972.083	0.04
1972.167	5.2
1972.25	3.37
1972.333	3.28
1972.417	-0.71
1972.5	1.08
1972.583	-2.45
1972.667	-1.17
1972.75	-2.17
1972.833	-0.14
1972.917	2.32
1973	2.78
1973.083	-0.46
1973.167	0.7
1973.25	2.77
1973.333	0.08
1973.417	-1.61
1973.5	0.38
1973.583	-0.65
1973.667	-0.17
1973.75	1.33
1973.833	-1.34
1973.917	4.52
1974	3.98
1974.083	0.44
1974.167	-1.5
1974.25	-0.63
1974.333	2.88
1974.417	-0.01
1974.5	-1.12
1974.583	0.25
1974.667	2.63
1974.75	-0.67
1974.833	-2.94
1974.917	-0.58
1975	-3.82
1975.083	9.34
1975.167	2.9
1975.25	5.27
1975.333	-0.82
1975.417	-0.01
1975.5	-0.72
1975.583	-0.15
1975.667	-0.57
1975.75	0.83
1975.833	-0.34
1975.917	0.32
1976	-3.62
1976.083	-0.46
1976.167	1.9
1976.25	-1.23
1976.333	-0.42
1976.417	-0.61
1976.5	1.58
1976.583	-0.25
1976.667	-2.07
1976.75	0.13
1976.833	-3.04
1976.917	-2.28
1977	-0.02
1977.083	-6.86
1977.167	0.5
1977.25	2.27
1977.333	1.28
1977.417	-0.61
1977.5	0.98
1977.583	-0.55
1977.667	-0.97
1977.75	1.53
1977.833	1.76
1977.917	5.32
1978	5.58
1978.083	7.94
1978.167	9.9
1978.25	1.77
1978.333	2.68
1978.417	-1.01
1978.5	1.58
1978.583	1.15
1978.667	-0.57
1978.75	0.73
1978.833	-0.44
1978.917	3.42
1979	2.48
1979.083	-2.76
1979.167	6.6
1979.25	3.27
1979.333	-2.32
1979.417	0.09
1979.5	3.08
1979.583	0.45
1979.667	-0.27
1979.75	0.73
1979.833	1.46
1979.917	1.02
1980	4.78
1980.083	0.14
1980.167	-2.8
1980.25	-3.83
1980.333	0.98
1980.417	-0.91
1980.5	0.68
1980.583	-0.15
1980.667	1.23
1980.75	1.03
1980.833	-0.94
1980.917	4.32
1981	2.98
1981.083	-1.56
1981.167	3.7
1981.25	5.67
1981.333	2.18
1981.417	2.39
1981.5	1.88
1981.583	-1.45
1981.667	-0.57
1981.75	0.53
1981.833	-4.24
1981.917	-6.18
1982	-0.12
1982.083	0.94
1982.167	1
1982.25	-1.53
1982.333	2.88
1982.417	0.69
1982.5	0.58
1982.583	-1.35
1982.667	-0.47
1982.75	0.23
1982.833	2.06
1982.917	6.32
1983	4.18
1983.083	4.74
1983.167	3.9
1983.25	4.77
1983.333	-2.52
1983.417	-1.31
1983.5	-0.52
1983.583	-1.75
1983.667	0.23
1983.75	-1.07
1983.833	2.26
1983.917	6.22
1984	3.08
1984.083	-0.76
1984.167	-3.7
1984.25	1.77
1984.333	-3.22
1984.417	0.39
1984.5	0.48
1984.583	-2.15
1984.667	-0.97
1984.75	0.33
1984.833	1.56
1984.917	-0.28
1985	-1.52
1985.083	3.44
1985.167	-3.1
1985.25	-1.53
1985.333	0.58
1985.417	-0.81
1985.5	-2.52
1985.583	-0.85
1985.667	-0.77
1985.75	-0.47
1985.833	0.36
1985.917	2.82
1986	-0.92
1986.083	2.04
1986.167	0.8
1986.25	3.27
1986.333	-0.42
1986.417	0.59
1986.5	-0.62
1986.583	1.05
1986.667	0.03
1986.75	0.53
1986.833	-1.54
1986.917	-1.18
1987	0.88
1987.083	3.54
1987.167	4
1987.25	-2.83
1987.333	-0.12
1987.417	1.59
1987.5	-3.62
1987.583	-0.55
1987.667	1.23
1987.75	1.13
1987.833	-1.44
1987.917	-3.48
1988	4.98
1988.083	0.84
1988.167	-0.9
1988.25	-0.33
1988.333	1.58
1988.417	-0.51
1988.5	-1.62
1988.583	-2.35
1988.667	-0.17
1988.75	1.53
1988.833	1.06
1988.917	3.02
1989	3.58
1989.083	5.34
1989.167	3.6
1989.25	6.47
1989.333	0.68
1989.417	1.49
1989.5	-1.52
1989.583	-0.05
1989.667	0.13
1989.75	-0.67
1989.833	1.66
1989.917	-1.68
1990	3.58
1990.083	-0.76
1990.167	4.3
1990.25	5.37
1990.333	1.08
1990.417	3.79
1990.5	-0.02
1990.583	1.45
1990.667	0.03
1990.75	-0.07
1990.833	2.46
1990.917	1.42
1991	6.78
1991.083	5.44
1991.167	6.8
1991.25	-0.53
1991.333	-0.22
1991.417	-0.21
1991.5	0.18
1991.583	0.85
1991.667	0.03
1991.75	0.43
1991.833	0.76
