"","phi","n","variable","value"
"285",-0.1,100,"phi_iar",-0.263801317431922
"286",-0.1,100,"phi_iar",-0.176549612065585
"287",-0.1,100,"phi_iar",-0.162702381880604
"288",-0.1,100,"phi_iar",0.0428401708165149
"289",-0.1,100,"phi_iar",-0.142895927789559
"290",-0.1,100,"phi_iar",0.224643589587214
"291",-0.1,100,"phi_iar",0.0278498668557282
"292",-0.1,100,"phi_iar",-0.325500677773236
"293",-0.1,100,"phi_iar",0.2370955292494
"294",-0.1,100,"phi_iar",-0.407171119167905
"295",-0.1,100,"phi_iar",-0.208230192007768
"296",-0.1,100,"phi_iar",-0.17872503068941
"297",-0.1,100,"phi_iar",0.0696353141250586
"298",-0.1,100,"phi_iar",-0.186406585821025
"299",-0.1,100,"phi_iar",0.179687282536163
"300",-0.1,100,"phi_iar",-0.333471789364417
"301",-0.1,100,"phi_iar",0.342929872319527
"302",-0.1,100,"phi_iar",-0.121843518371874
"303",-0.1,100,"phi_iar",-0.00890710219473137
"304",-0.1,100,"phi_iar",0.182651003121279
"305",-0.1,100,"phi_iar",0.246309703454832
"306",-0.1,100,"phi_iar",0.429567756453167
"307",-0.1,100,"phi_iar",-0.0325149081872988
"308",-0.1,100,"phi_iar",0.3802739562573
"309",-0.1,100,"phi_iar",-0.376607971275307
"310",-0.1,100,"phi_iar",-0.0774357360857029
"311",-0.1,100,"phi_iar",-0.26580049926906
"312",-0.1,100,"phi_iar",-0.149130486598713
"313",-0.1,100,"phi_iar",-0.188540432912187
"314",-0.1,100,"phi_iar",-0.347929248719828
"315",-0.1,100,"phi_iar",0.0447915212375347
"316",-0.1,100,"phi_iar",0.246933419692277
"317",-0.1,100,"phi_iar",-0.161052383365802
"318",-0.1,100,"phi_iar",0.386613333302719
"319",-0.1,100,"phi_iar",0.0461368418961692
"320",-0.1,100,"phi_iar",-0.213916828143653
"321",-0.1,100,"phi_iar",-0.119431364490313
"322",-0.1,100,"phi_iar",-0.0891192362590051
"323",-0.1,100,"phi_iar",-0.294458739120808
"324",-0.1,100,"phi_iar",-0.241033701873747
"325",-0.1,100,"phi_iar",-0.244868746443433
"326",-0.1,100,"phi_iar",0.0279569176383644
"327",-0.1,100,"phi_iar",0.279863899493213
"328",-0.1,100,"phi_iar",0.120816510006305
"329",-0.1,100,"phi_iar",-0.102314514492819
"330",-0.1,100,"phi_iar",-0.101379495382273
"331",-0.1,100,"phi_iar",0.283403374783324
"332",-0.1,100,"phi_iar",0.310744806629315
"333",-0.1,100,"phi_iar",0.0713919745022991
"334",-0.1,100,"phi_iar",0.27463538359941
"335",-0.1,100,"phi_iar",-0.247783452209853
"336",-0.1,100,"phi_iar",-0.243568898124234
"337",-0.1,100,"phi_iar",-0.247858833448919
"338",-0.1,100,"phi_iar",-0.239367793766198
"339",-0.1,100,"phi_iar",0.167745815330006
"340",-0.1,100,"phi_iar",0.135895795331757
"341",-0.1,100,"phi_iar",0.131718297121558
"342",-0.1,100,"phi_iar",0.279008349863396
"343",-0.1,100,"phi_iar",-0.0502713212930029
"344",-0.1,100,"phi_iar",-0.33243983734761
"345",-0.1,100,"phi_iar",0.0840744161824493
"346",-0.1,100,"phi_iar",-0.375926982650403
"347",-0.1,100,"phi_iar",-0.223221474733171
"348",-0.1,100,"phi_iar",0.0103783466557265
"349",-0.1,100,"phi_iar",-0.0985225675713999
"350",-0.1,100,"phi_iar",-0.107419829772487
"351",-0.1,100,"phi_iar",0.0556952240376201
"352",-0.1,100,"phi_iar",-0.286287908677327
"353",-0.1,100,"phi_iar",0.389218663551352
"354",-0.1,100,"phi_iar",-0.0798982026951137
"355",-0.1,100,"phi_iar",0.0485190968318778
"356",-0.1,100,"phi_iar",0.0535807903558435
"357",-0.1,100,"phi_iar",-0.0881615648712286
"358",-0.1,100,"phi_iar",0.317086855503554
"359",-0.1,100,"phi_iar",-0.297252079435612
"360",-0.1,100,"phi_iar",0.00464712115628243
"361",-0.1,100,"phi_iar",0.425805294786117
"362",-0.1,100,"phi_iar",-0.0628742628180257
"363",-0.1,100,"phi_iar",0.065756722504967
"364",-0.1,100,"phi_iar",0.377004676563739
"365",-0.1,100,"phi_iar",-0.139376149136258
"366",-0.1,100,"phi_iar",-0.253490305917063
"367",-0.1,100,"phi_iar",-0.0562842476701344
"368",-0.1,100,"phi_iar",-0.189310181484674
"369",-0.1,100,"phi_iar",0.120894814454664
"370",-0.1,100,"phi_iar",-0.359970606282959
"371",-0.1,100,"phi_iar",0.105774307493273
"372",-0.1,100,"phi_iar",-0.103260664765619
"373",-0.1,100,"phi_iar",-0.216577813263049
"374",-0.1,100,"phi_iar",-0.459104594827602
"375",-0.1,100,"phi_iar",-0.325199815607206
"376",-0.1,100,"phi_iar",-0.0860796114596764
"377",-0.1,100,"phi_iar",-0.273984737005897
"378",-0.1,100,"phi_iar",0.418164948704762
"379",-0.1,100,"phi_iar",-0.198764703493112
"380",-0.1,100,"phi_iar",-0.347898946156494
"381",-0.1,100,"phi_iar",-0.164386398917418
"382",-0.1,100,"phi_iar",0.489202848091924
"383",-0.1,100,"phi_iar",-0.218282897310003
"384",-0.1,100,"phi_iar",-0.0986578043921893
"385",-0.1,100,"phi_iar",-0.124582719208291
"386",-0.1,100,"phi_iar",0.494331741076325
"387",-0.1,100,"phi_iar",-0.0927722081722785
"388",-0.1,100,"phi_iar",-0.18195479600721
"389",-0.1,100,"phi_iar",-0.325092769726
"390",-0.1,100,"phi_iar",-0.0362091546738744
"391",-0.1,100,"phi_iar",-0.176594373622137
"392",-0.1,100,"phi_iar",0.131419392031773
"393",-0.1,100,"phi_iar",-0.0615890719110437
"394",-0.1,100,"phi_iar",0.00500631676693059
"395",-0.1,100,"phi_iar",0.0299742488479554
"396",-0.1,100,"phi_iar",0.174103416654761
"397",-0.1,100,"phi_iar",0.317716468978498
"398",-0.1,100,"phi_iar",0.100760124347158
"399",-0.1,100,"phi_iar",0.106136457527913
"400",-0.1,100,"phi_iar",-0.132075299510724
"401",-0.1,100,"phi_iar",-0.180174711849763
"402",-0.1,100,"phi_iar",-0.382102977107486
"403",-0.1,100,"phi_iar",0.0956753358372839
"404",-0.1,100,"phi_iar",-0.23570493982519
"405",-0.1,100,"phi_iar",0.0859519136575864
"406",-0.1,100,"phi_iar",-0.378668296704763
"407",-0.1,100,"phi_iar",-0.362366542531639
"408",-0.1,100,"phi_iar",0.0950900649688004
"409",-0.1,100,"phi_iar",0.267105658170409
"410",-0.1,100,"phi_iar",0.00709916957597406
"411",-0.1,100,"phi_iar",0.250646977539279
"412",-0.1,100,"phi_iar",-0.220500830191849
"413",-0.1,100,"phi_iar",-0.255442758941799
"414",-0.1,100,"phi_iar",0.441759234478339
"415",-0.1,100,"phi_iar",0.374640011461708
"416",-0.1,100,"phi_iar",-0.263137487291221
"417",-0.1,100,"phi_iar",-0.292665661140108
"418",-0.1,100,"phi_iar",-0.205019031854015
"419",-0.1,100,"phi_iar",-0.274613750543442
"420",-0.1,100,"phi_iar",0.014636690410259
"421",-0.1,100,"phi_iar",-0.176440697441594
"422",-0.1,100,"phi_iar",-0.178606535695937
"423",-0.1,100,"phi_iar",-0.0894371280816889
"424",-0.1,100,"phi_iar",-0.214347584634415
"425",-0.1,100,"phi_iar",-0.460239930265231
"426",-0.1,100,"phi_iar",0.234674064599288
"427",-0.1,100,"phi_iar",0.0531266192898629
"428",-0.1,100,"phi_iar",-0.236721043011271
"429",-0.1,100,"phi_iar",-0.0780259586084392
"430",-0.1,100,"phi_iar",-0.258569919704279
"431",-0.1,100,"phi_iar",0.0423603983739323
"432",-0.1,100,"phi_iar",0.101332292735907
