"","mle_phi","mle_se","bte_phi","bte_se","phi","n"
"2141",-0.897854294135759,0.0274091178118106,-0.891591359049681,0.0297356784608493,-0.9,"100"
"2142",-0.868676465101715,0.0343917705930361,-0.861656538035073,0.0384273951123335,-0.9,"100"
"2143",-0.882060237406025,0.0312649853625632,-0.873362813783401,0.0333310378985203,-0.9,"100"
"2144",-0.932698519079981,0.0232737474312797,-0.928165827849607,0.0238176783058233,-0.9,"100"
"2145",-0.86453378021135,0.0374566440614237,-0.859070769387852,0.0344195620592665,-0.9,"100"
"2146",-0.849126361838164,0.0378099556909834,-0.840812044096294,0.0380475102594023,-0.9,"100"
"2147",-0.921036362203233,0.0232838764390475,-0.915634047915058,0.0261586998851293,-0.9,"100"
"2148",-0.887880267540284,0.0293369683500268,-0.880932885261459,0.032706159230768,-0.9,"100"
"2149",-0.875742295669508,0.0317483920432539,-0.867300385053278,0.0351086462541799,-0.9,"100"
"2150",-0.931293760203116,0.0217418418272944,-0.924367160126131,0.0237766220144529,-0.9,"100"
"2151",-0.886827202832465,0.0315505509638489,-0.879150427554168,0.0317350572927001,-0.9,"100"
"2152",-0.86094781496779,0.0359907220339018,-0.853933815641587,0.0366247834611878,-0.9,"100"
"2153",-0.904958805024158,0.0287312477253689,-0.898786950484498,0.0294888013163371,-0.9,"100"
"2154",-0.900029083889094,0.0271908182928545,-0.892811843923661,0.0285488163602256,-0.9,"100"
"2155",-0.907363815797233,0.0268677323913798,-0.899397483926854,0.0291007642491323,-0.9,"100"
"2156",-0.904830882562936,0.0280742597675205,-0.899160869173235,0.02942025055361,-0.9,"100"
"2157",-0.904580970719147,0.0272196441438763,-0.896848826013025,0.02931731521432,-0.9,"100"
"2158",-0.934604579816743,0.0229388332257516,-0.9293155699772,0.0229431138511199,-0.9,"100"
"2159",-0.873301310666604,0.0328926153166665,-0.867251134196473,0.0339787068246298,-0.9,"100"
"2160",-0.92033664582635,0.0247167379768757,-0.913262359957842,0.0271233951855499,-0.9,"100"
"2161",-0.836188319401859,0.0380458632703183,-0.828966332030284,0.0416335020923052,-0.9,"100"
"2162",-0.906969781654163,0.0274503458022795,-0.898333823634625,0.0320531591867765,-0.9,"100"
"2163",-0.902110179766774,0.0281879226382386,-0.894875917564434,0.0296611697746453,-0.9,"100"
"2164",-0.920927276621889,0.0258126804670559,-0.91477550798227,0.0261166286997384,-0.9,"100"
"2165",-0.865406597046185,0.0333706406210989,-0.854649156691752,0.0375395367926053,-0.9,"100"
"2166",-0.88874450668102,0.0296693921335231,-0.882141869327576,0.0332694170448922,-0.9,"100"
"2167",-0.910608878717634,0.0260933358567713,-0.903926958307775,0.0294878035210761,-0.9,"100"
"2168",-0.903366581530252,0.0281246095312505,-0.893265867135793,0.0301290742051998,-0.9,"100"
